Country,Confirmed,Deaths,Recovered,GDP_2018,gini,Infant Mortality Rate,Population Density,Urban Population,Median Age
Congo (Kinshasa),427604,-0.22162164528977604,135073,0.16499332159743768,0.0,0.23996724171662834,0.014077533507992557,0.0,0.0
Costa Rica,347151,-0.23049285239066533,116642,0.1341763286305162,1.5050610638672626,0.07609592382527078,0.003796939666628697,0.9599127000817306,0.30326408271318456
Cote d'Ivoire,611062,-0.22780673386955094,309368,0.02744976908364145,1.663825341994541,0.23996724171662834,0.014077533507992557,0.0,0.0
Croatia,299218,-0.2221388233333936,213360,0.2127205391091554,-0.6981459636878155,0.03221401508542349,0.002771765956638949,-0.07888171493727211,1.594582112330616
Cuba,216346,-0.2243709076417972,170780,0.16499332159743768,0.0,0.02913740712709609,0.004024756046626419,0.8654768441709121,1.3597970160365376
Cyprus,107176,-0.23056802361793532,65254,0.2993882833580675,-0.6468623720602343,0.004356420980951957,0.004973990963283594,0.346079636661411,0.7728342753013414
Czechia,1146758,-0.19909433190150497,651140,0.16499332159743768,-1.3533546827804348,0.01302398217983872,0.014077533507992557,0.0,0.0
Denmark,1305978,-0.17179414672310456,1057021,0.4353954455379877,-1.1137459725689134,0.02197841544215231,0.005201807343281315,1.337656123725004,1.3597970160365376
Djibouti,336216,-0.22951662871918568,255143,0.16499332159743768,0.7258284305047112,0.5901596926638583,0.00163268405665034,0.9126947721263213,-0.4010912061690508
Dominica,2059,-0.2325345029233183,1659,0.08232524569018813,0.0,0.3703093708608331,0.0036450620799635494,0.6766051323492751,0.0
Dominican Republic,2495433,-0.17060744361526897,1211513,0.13478740573470865,1.0691103975371168,0.2761745527221896,0.00854311424991457,1.1960023398587762,-0.2836986580220116
Ecuador,4678496,0.11487483646161421,1772210,0.08711720656012302,0.9177045081812488,0.13262158430223864,0.002695827163306375,0.15720792483977408,-0.2836986580220116
Egypt,4142819,-0.045171722377409705,1197283,0.16499332159743768,-0.8505186622972745,0.1991217534275801,0.003910847856627558,-0.7871506342684099,-0.6358763024631293
El Salvador,453036,-0.22107941017040184,240972,0.060145595104553466,0.28807782085599043,0.12506213411540792,0.011884421156547822,0.629387204393866,-0.2836986580220116
Equatorial Guinea,153258,-0.2302833752373396,35352,0.17438685921652022,0.0,0.7410302757613015,0.0018984698333143486,0.629387204393866,-0.988053946904247
Eritrea,11786,-0.2325345029233183,5724,0.16499332159743768,0.0,0.36445610079641977,0.0013289288833200441,0.15720792483977408,-1.3402315913453646
Estonia,216505,-0.2256929189587188,137224,0.2792580996009329,-0.3950889855069657,0.004734707221830882,0.001177051296654896,0.39329756461682025,1.3597970160365376
Eswatini,63160,-0.2317697609712249,30185,0.07842510372848906,2.130084514723601,0.4662755964971307,0.002543949576641227,-1.4009836976887295,-1.1054464950512861
Ethiopia,357928,-0.22663406272413908,121793,0.010130106211427799,-0.9522065398624775,0.44089819263528174,0.004366480616623002,-1.8259450492874123,-1.3402315913453646
Fiji,2266,-0.2325345029233183,1568,0.08034051079421924,-0.307628343658864,0.2538526480359506,0.0018605004366480616,-0.03166378698186288,-0.2836986580220116
Finland,713167,-0.20212724035109156,544492,0.37789259014542165,-1.1168255095256463,0.005689827765109891,0.0006834491399931655,1.2432202678141855,1.4771895641835768
France,21210926,2.8229493696369987,7182115,0.35352131101356893,-0.7464397934612141,0.028680015807878517,0.004518358203288149,1.0543485559925485,1.3597970160365376
Gabon,330678,-0.2300318021967427,146671,0.13579867437006218,-0.11039996651728538,0.37294261192001443,0.00034172456999658277,1.2904381957695947,-0.8706613987572077
Gambia,4845,-0.2323250257699926,2278,0.16499332159743768,0.0,0.43264605610979906,0.009074685803242586,-0.03166378698186288,-1.4576241394924039
Georgia,85213,-0.23126561260700082,60230,0.08925892158929298,-0.024320072958438875,0.0884647762986916,0.0021642556099783572,-0.07888171493727211,0.8902268234483807
Germany,21059152,0.6407767515745962,17107839,0.4148125061836821,-0.6937870541682596,0.021704833385891614,0.009112655199908873,0.7710409882600936,1.8293672086246946
Ghana,1246644,-0.22561073175023694,814529,0.03172705730341544,0.6254710618329221,0.40749826736715516,0.005201807343281315,-0.12609964289268136,-0.988053946904247
Greece,362615,-0.21327563449674644,132346,0.22867221484305847,-0.24440946069098055,0.02282012758005126,0.003075521129969245,1.1960023398587762,1.8293672086246946
Greenland,1507,-0.2325345029233183,1372,0.16499332159743768,-0.7027491665519255,0.23996724171662834,0.0,1.2904381957695947,0.0
Grenada,2466,-0.2325345029233183,1848,0.11742262898580481,0.0,0.1658651986377513,0.012567870296540988,-1.1648940579116835,0.1858715345661453
Guatemala,1273708,-0.18328933079723167,416757,0.06118059687728828,1.2326025188630314,0.24216231668145236,0.006340889243269925,-0.362189282669727,-0.8706613987572077
Guinea,403605,-0.23017312410401028,276575,0.013956626583252639,-0.7513921922274166,0.7838835939063354,0.0020123780233132094,-0.9760223460900466,-1.4576241394924039
Guinea-Bissau,122994,-0.23124055553124417,26036,0.008361873425663288,1.7782111600505568,0.6392906830456979,0.0026578577666400882,-0.6927147783575914,-1.3402315913453646
Guyana,19089,-0.2311854299645795,8521,0.0625944483387039,0.0,0.28856483351562023,0.00015187758666514788,-1.5426374815549568,-0.4010912061690508
